date,mean_mm,max_mm,nino12_anom,phase
2024-02-29,44.73,208.24,0.914,regular_el_nino
2024-03-01,45.895,99.97,0.929,regular_el_nino
2025-02-14,50.717,147.91,0.929,regular_el_nino
2025-02-16,41.254,269.82,0.957,regular_el_nino
2025-02-20,41.217,227.82,1.014,regular_el_nino
2025-02-26,43.927,99.86,1.1,regular_el_nino
2025-03-30,45.568,119.2,1.257,regular_el_nino
2025-04-02,42.734,76.52,1.3,regular_el_nino
2025-04-08,50.21,123.12,1.214,regular_el_nino
2025-04-10,62.105,142.42,1.114,regular_el_nino
2025-04-11,47.513,134.27,1.029,regular_el_nino
2025-04-13,45.859,136.75,0.857,regular_el_nino
2026-02-18,51.408,108.48,1.1,regular_el_nino
2026-02-24,54.781,84.66,1.014,regular_el_nino
2026-03-01,80.39,150.6,1.0,regular_el_nino
2026-03-03,61.781,131.39,1.0,regular_el_nino
2026-03-10,64.597,111.5,1.343,regular_el_nino
2026-03-12,44.015,107.49,1.4,regular_el_nino
